GridID;Distrito
1; Sarria-Sant Gervasi
2; Sarria-Sant Gervasi
3; Sarria-Sant Gervasi
4; Sarria-Sant Gervasi
5; Sarria-Sant Gervasi
6; Sarria-Sant Gervasi
7; Sarria-Sant Gervasi
8; Sarria-Sant Gervasi
9; Sarria-Sant Gervasi
10; Sarria-Sant Gervasi
11; Sarria-Sant Gervasi
12; Sarria-Sant Gervasi
13; Sarria-Sant Gervasi
14; Sarria-Sant Gervasi
15; Sarria-Sant Gervasi
16; Sarria-Sant Gervasi
17; Sarria-Sant Gervasi
18; Sarria-Sant Gervasi
19; Sarria-Sant Gervasi
20; Sarria-Sant Gervasi
21; Esplugues de Llobregat
22; Esplugues de Llobregat
23; Sarria-Sant Gervasi
24; Sarria-Sant Gervasi
25; Sarria-Sant Gervasi
26; el Prat de Llobregat
27; l'Hospitalet de Llobregat
28;Ciutat Vella
29; Esplugues de Llobregat
30; les Corts
31;Ciutat Vella
32; les Corts
33; Sarria-Sant Gervasi
34; Sarria-Sant Gervasi
35; Sarria-Sant Gervasi
36; Sarria-Sant Gervasi
37; Sarria-Sant Gervasi
38; Sarria-Sant Gervasi
39; Sarria-Sant Gervasi
40;Prat del Llobregat
41; l'Hospitalet de Llobregat
42;les Corts
43; les Corts
44;les Corts
45;les Corts
46;Ciutat Vella
47; Sarria-Sant Gervasi
48;Ciutat Vella
49; Sarria-Sant Gervasi
50; Sarria-Sant Gervasi
51; Sarria-Sant Gervasi
52; Sarria-Sant Gervasi
53; Sarria-Sant Gervasi
54; Sarria-Sant Gervasi
55; Sants-Montjuic
56; l'Hospitalet de Llobregat
57;Hospitalet del Llobregat
58;Hospitalet del Llobregat
59; les Corts
60; les Corts
61;les Corts
62; les Corts
63; les Corts
64;les Corts
65; les Corts
66; les Corts
67; Sarria-Sant Gervasi
68; Sarria-Sant Gervasi
69;Ciutat Vella
70; Sarria-Sant Gervasi
71; Sarria-Sant Gervasi
72; Sarria-Sant Gervasi
73; l'Hospitalet de Llobregat
74; Sants-Montjuic
75; Sant Marti
76;Ciutat Vella
77; l'Hospitalet de Llobregat
78;les Corts
79; les Corts
80; les Corts
81;Ciutat Vella
82; les Corts
83;les Corts
84;Ciutat Vella
85; Sant Marti
86; Sarria-Sant Gervasi
87; Sarria-Sant Gervasi
88; Sarria-Sant Gervasi
89; Sant Marti
90;Ciutat Vella
91; Sarria-Sant Gervasi
92; Sarria-Sant Gervasi
93; el Prat de Llobregat
94;Ciutat Vella
95; Sants-Montjuic
96; Sants-Montjuic
97; Sants-Montjuic
98; Sant Marti
99; l'Hospitalet de Llobregat
100;Hospitalet del Llobregat
101;les Corts
102; les Corts
103; les Corts
104; Sant Marti
105; Sant Marti
106; les Corts
107; les Corts
108; Sant Marti
109;Ciutat Vella
110; Sarria-Sant Gervasi
111;Ciutat Vella
112; Sarria-Sant Gervasi
113; Sarria-Sant Gervasi
114; Sarria-Sant Gervasi
115; Sarria-Sant Gervasi
116; Sarria-Sant Gervasi
117;Ciutat Vella
118; Sants-Montjuic
119; Sants-Montjuic
120; Sants-Montjuic
121; Sants-Montjuic
122; Sants-Montjuic
123; Sants-Montjuic
124; l'Hospitalet de Llobregat
125; les Corts
126; les Corts
127; les Corts
128; les Corts
129; les Corts
130; les Corts
131; les Corts
132;les Corts
133;Ciutat Vella
134; Sarria-Sant Gervasi
135; Sarria-Sant Gervasi
136; Sarria-Sant Gervasi
137; Sarria-Sant Gervasi
138; Sarria-Sant Gervasi
139; Sarria-Sant Gervasi
140; Sarria-Sant Gervasi
141; Sants-Montjuic
142; Sants-Montjuic
143; Sants-Montjuic
144; Sants-Montjuic
145; Sants-Montjuic
146;Ciutat Vella
147; Sants-Montjuic
148;Ciutat Vella
149; l'Hospitalet de Llobregat
150; les Corts
151; les Corts
152;les Corts
153; les Corts
154; Sant Marti
155; les Corts
156; Sarria-Sant Gervasi
157; les Corts
158; Sarria-Sant Gervasi
159; Sarria-Sant Gervasi
160; Sarria-Sant Gervasi
161; Sarria-Sant Gervasi
162;Ciutat Vella
163; Sarria-Sant Gervasi
164; Sarria-Sant Gervasi
165; Sarria-Sant Gervasi
166; Sarria-Sant Gervasi
167;Prat del Llobregat
168;Ciutat Vella
169; Sant Marti
170; Sants-Montjuic
171; Sants-Montjuic
172; Sants-Montjuic
173; Sants-Montjuic
174;Ciutat Vella
175; l'Hospitalet de Llobregat
176; les Corts
177;les Corts
178; Sant Marti
179; les Corts
180; les Corts
181; les Corts
182; Sarria-Sant Gervasi
183; Sarria-Sant Gervasi
184; Sarria-Sant Gervasi
185; Sant Marti
186; Sarria-Sant Gervasi
187; Sarria-Sant Gervasi
188;Ciutat Vella
189; Sarria-Sant Gervasi
190; Sarria-Sant Gervasi
191; Sarria-Sant Gervasi
192;Ciutat Vella
193; Sants-Montjuic
194; Sants-Montjuic
195; Sants-Montjuic
196; Sants-Montjuic
197; Sant Marti
198; Sants-Montjuic
199; l'Hospitalet de Llobregat
200; Sants-Montjuic
201;Ciutat Vella
202;les Corts
203; Sant Marti
204;Ciutat Vella
205; Sarria-Sant Gervasi
206; les Corts
207; Sarria-Sant Gervasi
208; Sarria-Sant Gervasi
209; Sant Marti
210; Sant Marti
211; Sant Marti
212;Ciutat Vella
213; Sarria-Sant Gervasi
214;Ciutat Vella
215;Ciutat Vella
216; Horta-Guinardo
217;Ciutat Vella
218;Ciutat Vella
219; Sants-Montjuic
220; Sants-Montjuic
221;Ciutat Vella
222; Sants-Montjuic
223; Sants-Montjuic
224; Sants-Montjuic
225;Sant Adria del Besos
226; Sants-Montjuic
227; Sants-Montjuic
228;Ciutat Vella
229;les Corts
230; Sant Marti
231; les Corts
232;les Corts
233;les Corts
234;Ciutat Vella
235; Sarria-Sant Gervasi
236; Sarria-Sant Gervasi
237; Sarria-Sant Gervasi
238; Sarria-Sant Gervasi
239; Sarria-Sant Gervasi
240; Sarria-Sant Gervasi
241; Sant Marti
242; Sarria-Sant Gervasi
243; Sarria-Sant Gervasi
244; Sarria-Sant Gervasi
245; Sant Marti
246;Ciutat Vella
247;Ciutat Vella
248; Sants-Montjuic
249;Ciutat Vella
250;Ciutat Vella
251; Sants-Montjuic
252; Sants-Montjuic
253; Sants-Montjuic
254; Sant Marti
255; l'Hospitalet de Llobregat
256; Sants-Montjuic
257; Sants-Montjuic
258; Sants-Montjuic
259; les Corts
260;les Corts
261; les Corts
262;les Corts
263;les Corts
264;les Corts
265; Sarria-Sant Gervasi
266; Sarria-Sant Gervasi
267; Sarria-Sant Gervasi
268; Sarria-Sant Gervasi
269; Sarria-Sant Gervasi
270; Sarria-Sant Gervasi
271; Sarria-Sant Gervasi
272; Sarria-Sant Gervasi
273; Sarria-Sant Gervasi
274; Sarria-Sant Gervasi
275; Horta-Guinardo
276; Horta-Guinardo
277;Ciutat Vella
278;Horta-Guinardo
279;Ciutat Vella
280; Sants-Montjuic
281; Sants-Montjuic
282; Sants-Montjuic
283; Sants-Montjuic
284;Ciutat Vella
285;Ciutat Vella
286; Sants-Montjuic
287; l'Hospitalet de Llobregat
288; l'Hospitalet de Llobregat
289; l'Hospitalet de Llobregat
290;Sant Adria del Besos
291;Ciutat Vella
292; Sants-Montjuic
293; Sants-Montjuic
294;Ciutat Vella
295; les Corts
296;les Corts
297; les Corts
298;les Corts
299; Sarria-Sant Gervasi
300; Sarria-Sant Gervasi
301; Sarria-Sant Gervasi
302; Sarria-Sant Gervasi
303; Sarria-Sant Gervasi
304; Sarria-Sant Gervasi
305; Sarria-Sant Gervasi
306; Sarria-Sant Gervasi
307; Sarria-Sant Gervasi
308;Ciutat Vella
309; Sarria-Sant Gervasi
310; Sarria-Sant Gervasi
311; Horta-Guinardo
312;Ciutat Vella
313; Horta-Guinardo
314;Ciutat Vella
315;Ciutat Vella
316;Ciutat Vella
317; Sants-Montjuic
318; Sants-Montjuic
319; Sants-Montjuic
320; Sants-Montjuic
321;Ciutat Vella
322; Sants-Montjuic
323; Sants-Montjuic
324; l'Hospitalet de Llobregat
325;Hospitalet del Llobregat
326; Sants-Montjuic
327; Sants-Montjuic
328;Sant Adria del Besos
329; l'Hospitalet de Llobregat
330; l'Hospitalet de Llobregat
331; Sants-Montjuic
332;Ciutat Vella
333; Sants-Montjuic
334; Sants-Montjuic
335;Ciutat Vella
336; Sants-Montjuic
337;les Corts
338;Ciutat Vella
339; Sants-Montjuic
340; Sarria-Sant Gervasi
341; Sarria-Sant Gervasi
342; Sarria-Sant Gervasi
343; Sarria-Sant Gervasi
344; Sarria-Sant Gervasi
345; Sarria-Sant Gervasi
346; Sarria-Sant Gervasi
347; Sarria-Sant Gervasi
348; Sarria-Sant Gervasi
349; Sarria-Sant Gervasi
350; Sarria-Sant Gervasi
351;Gracia
352; Sarria-Sant Gervasi
353; Sarria-Sant Gervasi
354; Sarria-Sant Gervasi
355; Sarria-Sant Gervasi
356; Horta-Guinardo
357; Horta-Guinardo
358; Horta-Guinardo
359; Sants-Montjuic
360; Sants-Montjuic
361; Sants-Montjuic
362; Sants-Montjuic
363; Sants-Montjuic
364; Sants-Montjuic
365; Sants-Montjuic
366; l'Hospitalet de Llobregat
367; l'Hospitalet de Llobregat
368;Hospitalet del Llobregat
369; l'Hospitalet de Llobregat
370; Sants-Montjuic
371; Sants-Montjuic
372; Sants-Montjuic
373;Hospitalet del Llobregat
374;Ciutat Vella
375;Ciutat Vella
376; Sants-Montjuic
377; Sants-Montjuic
378; Sants-Montjuic
379; Sants-Montjuic
380; Sants-Montjuic
381;Ciutat Vella
382; les Corts
383; Sants-Montjuic
384;les Corts
385; Sarria-Sant Gervasi
386; Sarria-Sant Gervasi
387; Sarria-Sant Gervasi
388;Ciutat Vella
389; Sarria-Sant Gervasi
390; Sarria-Sant Gervasi
391; Sarria-Sant Gervasi
392; Sarria-Sant Gervasi
393; Sarria-Sant Gervasi
394;Ciutat Vella
395; Gracia
396; Gracia
397;Ciutat Vella
398;Horta-Guinardo
399;Horta-Guinardo
400; Sarria-Sant Gervasi
401; Horta-Guinardo
402; Sants-Montjuic
403; Sants-Montjuic
404; Sants-Montjuic
405; Sants-Montjuic
406; Sants-Montjuic
407;Ciutat Vella
408;Horta-Guinardo
409;Ciutat Vella
410;Horta-Guinardo
411; Sants-Montjuic
412; Sants-Montjuic
413; Sants-Montjuic
414; Sants-Montjuic
415; Sants-Montjuic
416; Sants-Montjuic
417; Sants-Montjuic
418;Horta-Guinardo
419; Sants-Montjuic
420; les Corts
421; Sants-Montjuic
422; les Corts
423;Ciutat Vella
424; Sarria-Sant Gervasi
425; Sarria-Sant Gervasi
426; Sarria-Sant Gervasi
427; Sarria-Sant Gervasi
428; Sarria-Sant Gervasi
429; Sarria-Sant Gervasi
430; Sarria-Sant Gervasi
431; Sarria-Sant Gervasi
432; Sarria-Sant Gervasi
433; Gracia
434; Gracia
435; Gracia
436; Gracia
437;Horta-Guinardo
438;Horta-Guinardo
439;Ciutat Vella
440; Sants-Montjuic
441;Ciutat Vella
442;Ciutat Vella
443; Sants-Montjuic
444; Sants-Montjuic
445; Sants-Montjuic
446;Ciutat Vella
447; Sants-Montjuic
448; Sants-Montjuic
449; Sants-Montjuic
450; Sants-Montjuic
451; Sarria-Sant Gervasi
452;Ciutat Vella
453; Sants-Montjuic
454; Sants-Montjuic
455; Sants-Montjuic
456; Sants-Montjuic
457; Sants-Montjuic
458; Sants-Montjuic
459; Sants-Montjuic
460;Ciutat Vella
461;Ciutat Vella
462;les Corts
463;Ciutat Vella
464; Sarria-Sant Gervasi
465; Sarria-Sant Gervasi
466; Sarria-Sant Gervasi
467; Sarria-Sant Gervasi
468; Sarria-Sant Gervasi
469; Sarria-Sant Gervasi
470; Sarria-Sant Gervasi
471; Sarria-Sant Gervasi
472; Gracia
473; Gracia
474; Gracia
475; Horta-Guinardo
476;Horta-Guinardo
477; Horta-Guinardo
478; Horta-Guinardo
479;Horta-Guinardo
480; Sants-Montjuic
481; Sants-Montjuic
482;Ciutat Vella
483; Sants-Montjuic
484;Ciutat Vella
485; Sants-Montjuic
486; Sants-Montjuic
487; Sants-Montjuic
488; Sants-Montjuic
489;Ciutat Vella
490;Ciutat Vella
491;Ciutat Vella
492; Sants-Montjuic
493; Sants-Montjuic
494; Sants-Montjuic
495; Sants-Montjuic
496; Sants-Montjuic
497; Sants-Montjuic
498; Eixample
499;les Corts
500;Eixample
501;Ciutat Vella
502; Sarria-Sant Gervasi
503; Sarria-Sant Gervasi
504; Sarria-Sant Gervasi
505; Sarria-Sant Gervasi
506; Sarria-Sant Gervasi
507; Sarria-Sant Gervasi
508; Sarria-Sant Gervasi
509; Sarria-Sant Gervasi
510; Sarria-Sant Gervasi
511; Gracia
512; Gracia
513; Gracia
514;Horta-Guinardo
515; Horta-Guinardo
516;Horta-Guinardo
517;Horta-Guinardo
518;Ciutat Vella
519;Horta-Guinardo
520; Sants-Montjuic
521; Sant Marti
522;Ciutat Vella
523; Sants-Montjuic
524; Sants-Montjuic
525; Sants-Montjuic
526; Sant Marti
527; Sants-Montjuic
528; Sants-Montjuic
529; Sants-Montjuic
530; Sants-Montjuic
531; Sants-Montjuic
532;Ciutat Vella
533; Sants-Montjuic
534; Sants-Montjuic
535; Sants-Montjuic
536; Eixample
537; Eixample
538;Eixample
539; Sant Marti
540;Eixample
541;Eixample
542; Sarria-Sant Gervasi
543; Sarria-Sant Gervasi
544; Sarria-Sant Gervasi
545; Sarria-Sant Gervasi
546; Sarria-Sant Gervasi
547; Sarria-Sant Gervasi
548; Sarria-Sant Gervasi
549;Gracia
550; Gracia
551; Gracia
552; Gracia
553; Sant Marti
554; Horta-Guinardo
555; Sant Marti
556;Ciutat Vella
557; Sant Marti
558; Sant Marti
559; Horta-Guinardo
560;Ciutat Vella
561;Ciutat Vella
562;Ciutat Vella
563; Sants-Montjuic
564; Sants-Montjuic
565; Sant Marti
566;Ciutat Vella
567; Sant Marti
568; Sants-Montjuic
569;Ciutat Vella
570; Sants-Montjuic
571;Ciutat Vella
572; Sant Marti
573; Sants-Montjuic
574;Eixample
575; Eixample
576; Sant Marti
577;Eixample
578; Eixample
579; Eixample
580; Sarria-Sant Gervasi
581; Sarria-Sant Gervasi
582; Sarria-Sant Gervasi
583; Sarria-Sant Gervasi
584; Sarria-Sant Gervasi
585; Sarria-Sant Gervasi
586; Gracia
587; Gracia
588; Gracia
589; Gracia
590; Sant Marti
591;Horta-Guinardo
592; Horta-Guinardo
593;Horta-Guinardo
594; Sant Marti
595; Horta-Guinardo
596; Horta-Guinardo
597;Ciutat Vella
598; Horta-Guinardo
599; Horta-Guinardo
600; Horta-Guinardo
601;Ciutat Vella
602; Sants-Montjuic
603; Sants-Montjuic
604; Sants-Montjuic
605;Ciutat Vella
606;Ciutat Vella
607; Sant Marti
608; Sant Marti
609; Sant Marti
610; Sants-Montjuic
611; Sant Marti
612; Sant Marti
613; Eixample
614;Eixample
615;Eixample
616; Eixample
617; Eixample
618; Eixample
619; Eixample
620; Sarria-Sant Gervasi
621; Sarria-Sant Gervasi
622; Sarria-Sant Gervasi
623; Sarria-Sant Gervasi
624; Sarria-Sant Gervasi
625;Ciutat Vella
626; Gracia
627; Sant Marti
628;Ciutat Vella
629;Ciutat Vella
630;Ciutat Vella
631;Ciutat Vella
632;Horta-Guinardo
633;Horta-Guinardo
634; Sant Marti
635; Horta-Guinardo
636; Sants-Montjuic
637;Horta-Guinardo
638; Horta-Guinardo
639; Horta-Guinardo
640;Ciutat Vella
641; Sants-Montjuic
642; Sants-Montjuic
643;Ciutat Vella
644; Sants-Montjuic
645; Sants-Montjuic
646; Sants-Montjuic
647; Sants-Montjuic
648; Sants-Montjuic
649; Eixample
650;Eixample
651; Eixample
652;Eixample
653; Eixample
654; Eixample
655; Eixample
656; Sarria-Sant Gervasi
657; Sarria-Sant Gervasi
658;Gracia
659; Gracia
660;Gracia
661; Gracia
662;Gracia
663;Ciutat Vella
664;Horta-Guinardo
665;Horta-Guinardo
666;Horta-Guinardo
